date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:38:05	370801/370801	------	200	untouched ('OK')	text/html	etag:%2277a78951474587b8d43e79b3e268beb3%22	https://www.omu.ac.jp/eng/shibahara/	C:/Users/peper/OneDrive/%e3%83%89%e3%82%ad%e3%83%a5%e3%83%a1%e3%83%b3%e3%83%88/%e6%9f%b4%e5%8e%9f%e7%a0%94%e7%a9%b6%e5%ae%a4/www.omu.ac.jp/eng/shibahara/index.html	(from )
10:38:05	58576/58576	------	404	error ('Not%20Found')	text/html	etag:%2216d621584e2cb9354e59f2238b91f1ae%22	https://www.omu.ac.jp/robots.txt		(from )
10:38:05	156/156	------	400	error ('Bad%20Request')	text/html	date:Thu,%2011%20Jun%202026%2012:21:16%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/peper/OneDrive/%e3%83%89%e3%82%ad%e3%83%a5%e3%83%a1%e3%83%b3%e3%83%88/%e6%9f%b4%e5%8e%9f%e7%a0%94%e7%a9%b6%e5%ae%a4/www.googletagmanager.com/gtm.85445.delayed	(from https://www.omu.ac.jp/eng/shibahara/)
10:38:05	31001/31001	------	200	untouched ('OK')	text/css	etag:%227919-5f074f99e5ec4%22	https://www.omu.ac.jp/powercmsx/themes/small_site/fonts/font-awesome/css/font-awesome.min.css	C:/Users/peper/OneDrive/%e3%83%89%e3%82%ad%e3%83%a5%e3%83%a1%e3%83%b3%e3%83%88/%e6%9f%b4%e5%8e%9f%e7%a0%94%e7%a9%b6%e5%ae%a4/www.omu.ac.jp/powercmsx/themes/small_site/fonts/font-awesome/css/font-awesome.min.css	(from https://www.omu.ac.jp/eng/shibahara/)
10:38:05	26495/26495	------	200	untouched ('OK')	text/css	etag:%22677f-5f074f989f804%22	https://www.omu.ac.jp/powercmsx/themes/small_site/js/lib.min.css	C:/Users/peper/OneDrive/%e3%83%89%e3%82%ad%e3%83%a5%e3%83%a1%e3%83%b3%e3%83%88/%e6%9f%b4%e5%8e%9f%e7%a0%94%e7%a9%b6%e5%ae%a4/www.omu.ac.jp/powercmsx/themes/small_site/js/lib.min.css	(from https://www.omu.ac.jp/eng/shibahara/)
10:38:05	84/84	------	200	untouched ('OK')	text/css	etag:%2254-5d9a944ca0fd0%22	https://www.omu.ac.jp/eng/shibahara/css/style_variables.css	C:/Users/peper/OneDrive/%e3%83%89%e3%82%ad%e3%83%a5%e3%83%a1%e3%83%b3%e3%83%88/%e6%9f%b4%e5%8e%9f%e7%a0%94%e7%a9%b6%e5%ae%a4/www.omu.ac.jp/eng/shibahara/css/style_variables.css	(from https://www.omu.ac.jp/eng/shibahara/)
10:38:05	899817/899817	------	200	untouched ('OK')	text/css	etag:%22dbae9-6461b5938d7d1%22	https://www.omu.ac.jp/powercmsx/themes/small_site/css/style.css	C:/Users/peper/OneDrive/%e3%83%89%e3%82%ad%e3%83%a5%e3%83%a1%e3%83%b3%e3%83%88/%e6%9f%b4%e5%8e%9f%e7%a0%94%e7%a9%b6%e5%ae%a4/www.omu.ac.jp/powercmsx/themes/small_site/css/style.css	(from https://www.omu.ac.jp/eng/shibahara/)
10:38:05	17/17	------	200	untouched ('OK')	text/css	etag:%2211-64d8dbd570cb1%22	https://www.omu.ac.jp/eng/shibahara/css/style.css	C:/Users/peper/OneDrive/%e3%83%89%e3%82%ad%e3%83%a5%e3%83%a1%e3%83%b3%e3%83%88/%e6%9f%b4%e5%8e%9f%e7%a0%94%e7%a9%b6%e5%ae%a4/www.omu.ac.jp/eng/shibahara/css/style.css	(from https://www.omu.ac.jp/eng/shibahara/)
10:38:05	370801/370801	------	200	untouched ('OK')	text/html	etag:%225a871-65140e86a9e98%22	https://www.omu.ac.jp/eng/shibahara/index.html	C:/Users/peper/OneDrive/%e3%83%89%e3%82%ad%e3%83%a5%e3%83%a1%e3%83%b3%e3%83%88/%e6%9f%b4%e5%8e%9f%e7%a0%94%e7%a9%b6%e5%ae%a4/www.omu.ac.jp/eng/shibahara/index-2.html	(from https://www.omu.ac.jp/eng/shibahara/)
10:38:05	398092/398092	------	200	untouched ('')	image/jpeg	etag:%226130c-6364f957a3aca%22	https://www.omu.ac.jp/eng/shibahara/assets/attachmentfile/attachmentfile-file-70709.jpg	C:/Users/peper/OneDrive/%e3%83%89%e3%82%ad%e3%83%a5%e3%83%a1%e3%83%b3%e3%83%88/%e6%9f%b4%e5%8e%9f%e7%a0%94%e7%a9%b6%e5%ae%a4/www.omu.ac.jp/eng/shibahara/assets/attachmentfile/attachmentfile-file-70709.jpg	(from https://www.omu.ac.jp/eng/shibahara/)
10:38:05	89477/89477	------	200	untouched ('')	application/javascript	etag:%2215d85-5f074f986370f%22	https://www.omu.ac.jp/powercmsx/themes/small_site/js/jquery.min.js	C:/Users/peper/OneDrive/%e3%83%89%e3%82%ad%e3%83%a5%e3%83%a1%e3%83%b3%e3%83%88/%e6%9f%b4%e5%8e%9f%e7%a0%94%e7%a9%b6%e5%ae%a4/www.omu.ac.jp/powercmsx/themes/small_site/js/jquery.min.js	(from https://www.omu.ac.jp/eng/shibahara/)
10:38:06	979575/979575	------	200	untouched ('OK')	text/html	etag:%22141b19b55c25d4617f4633a2c5d1185f%22	https://www.omu.ac.jp/eng/shibahara/professor/index.html	C:/Users/peper/OneDrive/%e3%83%89%e3%82%ad%e3%83%a5%e3%83%a1%e3%83%b3%e3%83%88/%e6%9f%b4%e5%8e%9f%e7%a0%94%e7%a9%b6%e5%ae%a4/www.omu.ac.jp/eng/shibahara/professor/index.html	(from https://www.omu.ac.jp/eng/shibahara/)
10:38:06	49876/49876	------	200	untouched ('OK')	text/html	etag:%222b403f5d18c5674a73e395d5c7eb2c70%22	https://www.omu.ac.jp/eng/shibahara/intro/member/index.html	C:/Users/peper/OneDrive/%e3%83%89%e3%82%ad%e3%83%a5%e3%83%a1%e3%83%b3%e3%83%88/%e6%9f%b4%e5%8e%9f%e7%a0%94%e7%a9%b6%e5%ae%a4/www.omu.ac.jp/eng/shibahara/intro/member/index.html	(from https://www.omu.ac.jp/eng/shibahara/)
10:38:06	172535/172535	------	200	untouched ('OK')	text/html	etag:%2271724668bd8b615984db3ce73c85d2b5%22	https://www.omu.ac.jp/eng/shibahara/intro/success/index.html	C:/Users/peper/OneDrive/%e3%83%89%e3%82%ad%e3%83%a5%e3%83%a1%e3%83%b3%e3%83%88/%e6%9f%b4%e5%8e%9f%e7%a0%94%e7%a9%b6%e5%ae%a4/www.omu.ac.jp/eng/shibahara/intro/success/index.html	(from https://www.omu.ac.jp/eng/shibahara/)
10:38:06	1630433/1630433	------	200	untouched ('OK')	text/html	etag:%22dc19e07b3e62ceb8049c8343938c0543%22	https://www.omu.ac.jp/eng/shibahara/intro/folder/index.html	C:/Users/peper/OneDrive/%e3%83%89%e3%82%ad%e3%83%a5%e3%83%a1%e3%83%b3%e3%83%88/%e6%9f%b4%e5%8e%9f%e7%a0%94%e7%a9%b6%e5%ae%a4/www.omu.ac.jp/eng/shibahara/intro/folder/index.html	(from https://www.omu.ac.jp/eng/shibahara/)
10:38:06	59740/59740	------	200	untouched ('OK')	text/html	etag:%2210672ae3f1baba1dc826f876d373ba15%22	https://www.omu.ac.jp/eng/shibahara/professor/fem/index.html	C:/Users/peper/OneDrive/%e3%83%89%e3%82%ad%e3%83%a5%e3%83%a1%e3%83%b3%e3%83%88/%e6%9f%b4%e5%8e%9f%e7%a0%94%e7%a9%b6%e5%ae%a4/www.omu.ac.jp/eng/shibahara/professor/fem/index.html	(from https://www.omu.ac.jp/eng/shibahara/)
